block_height,tx_count,utxo_consumed,utxo_produced,pools_registered,pools_unregistered,accounts_registered,accounts_unregistered,accounts_pool_delegated,accounts_drep_delegated,accounts_touched,dreps_registered,dreps_unregistered,committee,withdrawals,proposals,votes
13588409,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588410,14,31,35,0,0,0,0,0,2,2,0,0,0,1,0,0
13588411,7,9,13,0,0,1,0,1,0,1,0,0,0,1,0,0
13588412,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13588413,10,52,34,0,0,0,0,0,0,0,0,0,0,2,0,0
13588414,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588416,9,13,20,0,0,0,0,0,0,0,0,0,0,3,0,0
13588417,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588418,9,15,21,0,0,0,0,0,0,0,0,0,0,1,0,0
13588419,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588420,2,3,4,0,0,0,1,0,0,1,0,0,0,0,0,0
13588421,7,31,10,0,0,2,0,2,1,2,0,0,0,0,0,0
13588422,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588424,12,25,34,0,0,0,0,0,0,0,0,0,0,2,0,0
13588425,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588427,5,11,9,0,0,0,0,0,0,0,0,0,0,1,0,0
13588428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588429,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588430,5,7,8,0,0,0,0,0,1,1,0,0,0,0,0,0
13588431,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588432,2,2,7,0,0,1,0,1,0,1,0,0,0,0,0,0
13588433,8,66,23,0,0,0,0,0,0,0,0,0,0,2,0,0
13588434,8,16,20,0,0,0,0,0,0,0,0,0,0,2,0,0
13588435,17,48,35,0,0,0,0,0,1,1,0,0,0,3,0,0
13588436,9,19,22,0,0,0,0,0,0,0,0,0,0,1,0,0
13588437,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13588438,19,75,36,0,0,1,0,1,3,3,0,0,0,1,0,0
13588439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588440,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588441,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588442,9,14,17,0,0,0,0,1,0,1,0,0,0,0,0,0
13588443,15,26,25,0,0,2,1,2,2,4,0,0,0,5,0,0
13588444,5,8,9,0,0,0,1,0,0,1,0,0,0,1,0,0
13588445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588446,15,51,41,0,0,0,0,0,1,1,0,0,0,1,0,0
13588447,19,43,41,0,0,0,0,1,2,3,0,0,0,3,0,0
13588448,9,53,18,0,0,1,0,1,0,1,0,0,0,0,0,0
13588449,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588450,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13588451,2,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0
13588452,3,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0
13588453,3,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0
13588454,18,29,42,0,0,1,0,1,1,1,0,0,0,0,0,18
13588455,3,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0
13588456,7,11,14,0,0,0,0,0,0,0,0,0,0,2,0,0
13588457,12,45,30,0,0,0,0,0,0,0,0,0,0,3,0,0
13588458,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0
13588459,5,9,10,0,0,0,0,0,1,1,0,0,0,1,0,0
13588460,4,8,10,0,0,1,0,1,0,1,0,0,0,0,0,0
13588461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588462,4,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0
13588463,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588465,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588466,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588468,5,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0
13588469,21,102,52,0,0,0,0,0,0,0,0,0,0,3,0,0
13588470,5,8,7,0,0,0,0,0,0,0,0,0,0,2,0,6
13588471,13,26,22,0,0,1,1,2,2,3,0,0,0,2,0,0
13588472,4,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588473,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13588474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588475,5,24,9,0,0,0,0,0,0,0,0,0,0,2,0,0
13588476,9,29,16,0,0,0,0,0,0,0,0,0,0,0,0,6
13588477,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588478,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588479,10,18,21,0,0,0,0,0,0,0,0,0,0,0,0,0
13588480,1,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0
13588481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588482,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13588483,6,7,8,0,0,1,0,0,1,1,0,0,0,1,0,2
13588484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588487,5,10,10,0,0,0,0,0,0,0,0,0,0,1,0,0
13588488,17,54,35,0,0,1,0,2,2,3,0,0,0,2,0,0
13588489,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588490,6,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13588491,19,54,48,0,0,0,0,0,0,0,0,0,0,7,0,0
13588492,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588493,11,18,20,0,0,2,1,2,1,3,0,0,0,0,0,0
13588494,37,180,82,0,0,0,0,0,2,2,0,0,0,1,0,1
13588495,2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
13588496,7,34,16,0,0,0,0,0,1,1,0,0,0,1,0,0
13588497,8,12,15,0,0,0,1,0,1,2,0,0,0,2,0,0
13588498,6,19,13,0,0,0,0,0,0,0,0,0,0,1,0,0
13588499,6,11,19,0,0,0,0,0,0,0,0,0,0,2,0,0
13588500,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13588501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588503,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588504,25,83,46,0,0,2,0,3,4,5,0,0,0,4,0,0
13588505,2,47,8,0,0,0,0,0,0,0,0,0,0,1,0,0
13588506,13,20,30,0,0,0,1,1,1,3,0,0,0,2,0,0
13588507,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588508,4,7,10,0,0,0,0,0,0,0,0,0,0,2,0,0
13588509,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588510,18,290,40,0,0,0,0,2,1,2,0,0,0,1,0,0
13588511,12,22,24,0,0,1,0,1,1,1,0,0,0,3,0,0
13588512,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
13588513,9,17,21,0,0,0,0,0,1,1,0,0,0,0,0,0
13588514,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13588515,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588516,7,40,15,0,0,0,0,0,0,0,0,0,0,2,0,0
13588517,8,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0
13588518,11,38,24,0,0,0,0,0,0,0,0,0,0,1,0,1
13588519,3,10,6,0,0,0,1,0,0,1,0,0,0,1,0,0
13588520,10,16,27,0,0,0,0,0,1,1,0,0,0,3,0,0
13588521,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588522,11,34,41,0,0,0,0,0,0,0,0,0,0,3,0,0
13588523,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
13588524,17,57,40,0,0,1,0,1,0,1,0,0,0,2,0,0
13588525,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588526,4,21,11,0,0,0,0,0,0,0,0,0,0,2,0,0
13588527,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588528,15,111,31,0,0,1,0,2,1,3,0,0,0,2,0,0
13588529,9,43,26,0,0,0,0,0,2,2,0,0,0,1,0,0
13588530,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588531,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588532,29,153,66,0,0,1,0,2,1,2,0,0,0,8,0,0
13588533,6,14,13,0,0,0,0,1,1,1,0,0,0,0,0,0
13588534,10,107,21,0,0,1,0,1,0,1,0,0,0,1,0,0
13588535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588536,17,169,40,0,0,1,1,1,1,2,0,0,0,1,0,0
13588537,3,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0
13588538,5,24,27,0,0,0,0,0,0,0,0,0,0,1,0,0
13588539,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13588540,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588541,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
13588542,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588543,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588544,4,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588545,18,110,35,0,0,0,0,0,1,1,0,0,0,3,0,0
13588546,7,32,23,0,0,0,0,0,0,0,0,0,0,2,0,0
13588547,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588548,13,69,36,0,0,0,0,0,1,1,0,0,0,1,0,0
13588549,4,23,10,0,0,0,0,0,0,0,0,0,0,1,0,0
13588550,5,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13588551,8,12,20,0,0,0,0,0,0,0,0,0,0,2,0,0
13588552,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13588553,5,8,14,0,0,0,0,0,0,0,0,0,0,2,0,0
13588554,14,62,42,0,0,0,0,0,0,0,0,0,0,4,0,0
13588555,5,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0
13588556,7,14,15,0,0,1,0,1,0,1,0,0,0,2,0,0
13588557,21,69,46,0,0,0,1,0,1,2,0,0,0,6,0,0
13588558,15,32,32,0,0,0,0,0,0,0,0,0,0,2,0,0
13588559,8,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0
13588560,7,35,13,0,0,0,0,0,0,0,0,0,0,1,0,0
13588561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588562,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13588563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588564,4,7,10,0,0,1,0,1,0,1,0,0,0,0,0,0
13588565,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588567,2,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
13588568,3,4,6,0,0,1,0,1,1,1,0,0,0,0,0,0
13588569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588570,19,54,43,0,0,0,0,0,0,0,0,0,0,2,0,0
13588571,8,12,22,0,0,0,0,0,1,1,0,0,0,3,0,0
13588572,9,16,17,0,0,1,0,1,1,1,0,0,0,1,0,0
13588573,5,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
13588574,13,28,39,0,0,0,0,0,0,0,0,0,0,2,0,0
13588575,2,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0
13588576,4,5,8,0,0,1,1,1,0,2,0,0,0,1,0,0
13588577,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588578,2,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0
13588579,5,14,14,0,0,1,0,1,0,1,0,0,0,1,0,0
13588580,6,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0
13588581,3,6,6,0,0,1,0,1,1,1,0,0,0,0,0,0
13588582,40,88,91,0,0,3,0,3,3,4,0,0,0,2,0,1
13588583,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588585,15,41,49,0,0,0,0,0,1,1,0,0,0,2,0,0
13588586,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13588587,19,41,48,0,0,0,3,0,2,5,0,0,0,3,0,0
13588588,9,31,24,0,0,0,1,0,0,1,0,0,0,3,0,0
13588589,3,21,16,0,0,0,0,0,1,1,0,0,0,0,0,0
13588590,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
13588591,4,6,10,0,0,0,0,1,2,2,0,0,0,2,0,0
13588592,3,6,9,0,0,0,0,0,0,0,0,0,0,1,0,0
13588593,7,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0
13588594,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13588595,9,20,20,0,0,0,0,0,0,0,0,0,0,1,0,0
13588596,5,7,9,0,0,1,0,1,0,1,0,0,0,0,0,0
13588597,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13588598,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588599,6,37,15,0,0,0,0,0,0,0,0,0,0,2,0,0
13588600,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588601,9,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0
13588602,32,60,67,0,0,1,1,1,2,3,0,0,0,5,0,0
13588603,5,12,9,0,0,0,0,0,0,0,0,0,0,0,0,1
13588604,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588605,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13588606,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1
13588607,5,22,14,0,0,0,0,1,1,2,0,0,0,0,0,0
13588608,4,6,8,0,0,0,1,0,0,1,0,0,0,1,0,0
13588609,3,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0
13588610,5,10,12,0,0,0,0,0,0,0,0,0,0,2,0,0
13588611,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
13588612,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588613,17,64,37,0,0,0,0,0,2,2,0,0,0,4,0,0
13588614,3,3,4,0,0,0,1,0,1,2,0,0,0,1,0,0
13588615,26,50,57,0,0,2,0,2,2,3,0,0,0,4,0,0
13588616,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588617,5,56,12,0,0,0,0,0,0,0,0,0,0,0,0,0
13588618,8,31,17,0,0,0,0,0,0,0,0,0,0,0,0,0
13588619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588621,8,13,18,0,0,1,0,1,0,1,0,0,0,2,0,0
13588622,9,79,23,0,0,0,0,0,1,1,0,0,0,0,0,0
13588623,11,42,23,0,0,0,0,0,0,0,0,0,0,3,0,0
13588624,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588625,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
13588626,4,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0
13588627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588628,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588629,6,24,14,0,0,1,0,1,1,1,0,0,0,0,0,0
13588630,12,109,27,0,0,0,0,0,0,0,0,0,0,2,0,0
13588631,12,27,38,0,0,0,0,0,0,0,0,0,0,2,0,0
13588632,11,42,32,0,0,0,0,0,0,0,0,0,0,3,0,0
13588633,16,96,35,0,0,0,0,0,0,0,0,0,0,4,0,0
13588634,10,33,20,0,0,0,0,0,0,0,0,0,0,1,0,0
13588635,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588636,26,96,57,0,0,2,1,2,1,3,0,0,0,4,0,0
13588637,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0
13588638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588639,15,30,35,0,0,0,0,0,0,0,0,0,0,1,0,3
13588640,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588641,12,33,38,0,0,0,0,0,0,0,0,0,0,1,0,0
13588642,7,24,17,0,0,0,0,1,0,1,0,0,0,1,0,0
13588643,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1
13588644,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588645,10,33,19,0,0,0,0,0,2,2,0,0,0,2,0,0
13588646,3,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0
13588647,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
13588648,4,6,7,0,0,1,0,1,1,1,0,0,0,0,0,0
13588649,7,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13588650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588651,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588652,4,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0
13588653,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
13588654,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588655,4,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0
13588656,9,16,21,0,0,0,1,0,0,1,0,0,0,3,0,0
13588657,11,20,20,0,0,0,0,0,0,0,0,0,0,3,0,1
13588658,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13588659,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588660,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,1
13588661,4,7,7,0,0,1,0,1,0,1,0,0,0,1,0,0
13588662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588663,5,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0
13588664,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
13588665,7,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13588666,2,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0
13588667,2,2,6,0,0,0,0,0,0,0,0,0,0,1,0,1
13588668,6,90,14,0,0,0,0,0,0,0,0,0,0,0,0,0
13588669,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
13588670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588671,7,12,13,0,0,0,0,0,1,1,0,0,0,1,0,6
13588672,4,5,9,0,0,1,0,1,0,1,0,0,0,0,0,0
13588673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588674,5,7,10,0,0,1,0,1,0,1,0,0,0,1,0,0
13588675,7,19,14,0,0,0,0,0,1,1,0,0,0,1,0,1
13588676,5,8,15,0,0,0,1,0,0,1,0,0,0,1,0,0
13588677,9,16,20,0,0,0,0,0,1,1,0,0,0,1,0,0
13588678,8,107,12,0,0,0,1,0,0,1,0,0,0,1,0,0
13588679,27,70,57,0,0,0,0,0,3,3,0,0,0,3,0,6
13588680,7,13,12,0,0,0,0,0,1,1,0,0,0,2,0,0
13588681,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13588682,4,7,11,0,0,0,0,0,0,0,0,0,0,2,0,0
13588683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13588685,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13588686,8,15,15,0,0,0,0,0,1,1,0,0,0,0,0,0
13588687,19,67,46,0,0,0,0,0,1,1,0,0,0,1,0,0
13588688,11,34,27,0,0,0,0,0,1,1,0,0,0,1,0,6
13588689,4,23,13,0,0,0,0,0,0,0,0,0,0,2,0,0
13588690,5,11,9,0,0,1,0,1,0,1,0,0,0,0,0,0
13588691,5,12,13,0,0,0,0,0,0,0,0,0,0,2,0,0
13588692,18,27,42,0,0,0,0,1,0,1,0,0,0,3,0,0
13588693,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
13588694,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
13588695,11,22,26,0,0,0,0,0,1,1,0,0,0,2,0,0
